;from_user_description;Party
;Sénatrice GRS de Paris, ancienne ministre, @gauche_RS #GaucheRépublicaineEtSocialiste;GRS
;Souverainiste, anti immigration, soutien inconditionnel à Marine Le Pen 🇫🇷 Suivie par @MLP_officiel @sebchenu @gilbertcollard @JeanMessiha @jllacapelle 🇫🇷;RN
;🌍 Citoyen du Monde 🇪🇺 #FBPE #GaucheLibérale Social-libéral 🌹 @TerresDeProgres @partisocialiste Écologiste 🐳 @EnCommun_parti @EELV;EELV
;Compte d'opinion politique de gauche. (La gauche de 1789). LFI;LFI
;Conseiller Paris 20e EELV Vice-Président @ecoloparis Président @eivp_paris @creditmunicipal @la_CPCU @le_SIAAP Enseignant @univ_spn @Fondationecolo @RevueEcoRev;EELV
;L'écologisme, cette nouvelle tyrannie.... Le film: Un jour sans fin: pour EELV, c'est le 1er Avril...;EELV
;Breton en exil à Paris Coureur Doctorant en chimie des polymères Adhérent EELV;EELV
;Député @MoDem #LREM 🇫🇷| 2e circonscription de Vendée ⛵️  Membre de la @AN_DevDur @AN_AfEur 🇪🇺 Collectivités territoriales, ruralité, défense du littoral 🏛;LREM
;Ecolo, végétarien, député #EELV 2012/2017. http://Instagram.com/sergio___coron… RT n’est pas toujours approuver;EELV
;Responsable des #bibliothèques de Laval. Auteur/critique #BD, éditeur  #Fanzine, coordonne EELV #Mayenne. #Doctorant en #InfoCom. #Politique #TDAH #TSA  #Québec;EELV
;Matricule 7517 🇷🇺 Utopie. Écologie. Musique. Geek.  #TeamCamelia #EELV. Co-Pdt @assoturbulences, secrétaire @ekologeek. Mes tweets m'engagent.;EELV
;Commission Nationale Outre-mers @EELV;EELV
;PhD Physic, universitaire, père, pro Europe, défense de la planète, anti religions, passé à l' âge adulte : donc stop à une certaine gauche et à EELV.;EELV
;Elu municipal délégué Numérique et Citoyenneté à Malakoff  #écologauchiste #vieuxgeek #fortéen #gratteux  #autoentrepreneur #velotaf #EELV #Commune1871;EELV
